benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
gsm8k,gsm8k_0000,cot,qwen2.5:7b,2180,2280,False,451,7.009,0,0,0,0,0,
gsm8k,gsm8k_0001,cot,qwen2.5:7b,1,1,True,353,4.925,0,0,0,0,0,
gsm8k,gsm8k_0002,cot,qwen2.5:7b,5,5,True,499,7.976,0,0,0,0,0,
gsm8k,gsm8k_0003,cot,qwen2.5:7b,12,12,True,382,5.637,0,0,0,0,0,
gsm8k,gsm8k_0004,cot,qwen2.5:7b,273,273,True,446,6.768,0,0,0,0,0,
gsm8k,gsm8k_0005,cot,qwen2.5:7b,45,45,True,364,4.779,0,0,0,0,0,
gsm8k,gsm8k_0006,cot,qwen2.5:7b,21,21,True,257,3.558,0,0,0,0,0,
gsm8k,gsm8k_0007,cot,qwen2.5:7b,200,145,False,412,6.57,0,0,0,0,0,
gsm8k,gsm8k_0008,cot,qwen2.5:7b,60,60,True,315,4.462,0,0,0,0,0,
gsm8k,gsm8k_0009,cot,qwen2.5:7b,122,122,True,458,7.623,0,0,0,0,0,
gsm8k,gsm8k_0010,cot,qwen2.5:7b,29,29,True,592,8.259,0,0,0,0,0,
gsm8k,gsm8k_0011,cot,qwen2.5:7b,80,80,True,361,5.294,0,0,0,0,0,
gsm8k,gsm8k_0012,cot,qwen2.5:7b,36,36,True,419,6.573,0,0,0,0,0,
gsm8k,gsm8k_0013,cot,qwen2.5:7b,1430,1430,True,299,3.797,0,0,0,0,0,
gsm8k,gsm8k_0014,cot,qwen2.5:7b,5,5,True,250,3.239,0,0,0,0,0,
gsm8k,gsm8k_0015,cot,qwen2.5:7b,5,5,True,337,4.718,0,0,0,0,0,
gsm8k,gsm8k_0016,cot,qwen2.5:7b,5,5,True,320,4.431,0,0,0,0,0,
gsm8k,gsm8k_0017,cot,qwen2.5:7b,66,66,True,278,3.789,0,0,0,0,0,
gsm8k,gsm8k_0018,cot,qwen2.5:7b,15,15,True,307,4.197,0,0,0,0,0,
gsm8k,gsm8k_0019,cot,qwen2.5:7b,40,40,True,373,4.927,0,0,0,0,0,
gsm8k,gsm8k_0020,cot,qwen2.5:7b,93,93,True,245,3.224,0,0,0,0,0,
gsm8k,gsm8k_0021,cot,qwen2.5:7b,2000,2000,True,494,7.164,0,0,0,0,0,
gsm8k,gsm8k_0022,cot,qwen2.5:7b,1520,1520,True,412,6.205,0,0,0,0,0,
gsm8k,gsm8k_0023,cot,qwen2.5:7b,11050,11050,True,475,7.328,0,0,0,0,0,
gsm8k,gsm8k_0024,cot,qwen2.5:7b,90,90,True,486,7.099,0,0,0,0,0,
gsm8k,gsm8k_0025,cot,qwen2.5:7b,40000,40000,True,364,4.992,0,0,0,0,0,
gsm8k,gsm8k_0026,cot,qwen2.5:7b,21,21,True,295,3.626,0,0,0,0,0,
gsm8k,gsm8k_0027,cot,qwen2.5:7b,18,18,True,671,11.3,0,0,0,0,0,
gsm8k,gsm8k_0028,cot,qwen2.5:7b,14,14,True,471,7.309,0,0,0,0,0,
gsm8k,gsm8k_0029,cot,qwen2.5:7b,23,23,True,382,5.31,0,0,0,0,0,
gsm8k,gsm8k_0030,cot,qwen2.5:7b,145,145,True,562,8.203,0,0,0,0,0,
gsm8k,gsm8k_0031,cot,qwen2.5:7b,123,123,True,477,7.508,0,0,0,0,0,
gsm8k,gsm8k_0032,cot,qwen2.5:7b,98,98,True,443,7.074,0,0,0,0,0,
gsm8k,gsm8k_0033,cot,qwen2.5:7b,12.00,7,False,501,8.039,0,0,0,0,0,
gsm8k,gsm8k_0034,cot,qwen2.5:7b,34.,34,True,420,6.073,0,0,0,0,0,
gsm8k,gsm8k_0035,cot,qwen2.5:7b,38.00,38,True,446,6.321,0,0,0,0,0,
gsm8k,gsm8k_0036,cot,qwen2.5:7b,320,320,True,407,5.698,0,0,0,0,0,
gsm8k,gsm8k_0037,cot,qwen2.5:7b,50,50,True,458,7.044,0,0,0,0,0,
gsm8k,gsm8k_0038,cot,qwen2.5:7b,50,50,True,337,5.062,0,0,0,0,0,
gsm8k,gsm8k_0039,cot,qwen2.5:7b,84,84,True,365,5.071,0,0,0,0,0,
gsm8k,gsm8k_0000,symmetric_cgcot,qwen2.5:7b,2530,2280,False,3282,28.767,3,1,2,2,1,
gsm8k,gsm8k_0001,symmetric_cgcot,qwen2.5:7b,2.5,1,False,4655,51.013,4,0,4,3,2,
gsm8k,gsm8k_0002,symmetric_cgcot,qwen2.5:7b,5,5,True,3433,61.906,5,0,3,0,3,
gsm8k,gsm8k_0003,symmetric_cgcot,qwen2.5:7b,15,12,False,2212,19.582,4,2,1,1,1,
gsm8k,gsm8k_0004,symmetric_cgcot,qwen2.5:7b,273,273,True,3324,30.183,5,0,3,3,3,
gsm8k,gsm8k_0005,symmetric_cgcot,qwen2.5:7b,45,45,True,2407,22.184,3,2,1,1,0,
gsm8k,gsm8k_0006,symmetric_cgcot,qwen2.5:7b,21,21,True,2192,18.836,2,0,2,1,2,
