benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
folio,folio_0000,cot,qwen2.5:7b,False,Unknown,False,635,9.974,0,0,0,0,0,
folio,folio_0001,cot,qwen2.5:7b,True,True,True,585,8.792,0,0,0,0,0,
folio,folio_0002,cot,qwen2.5:7b,True,True,True,380,4.917,0,0,0,0,0,
folio,folio_0003,cot,qwen2.5:7b,False,False,True,542,8.402,0,0,0,0,0,
folio,folio_0004,cot,qwen2.5:7b,True,Unknown,False,518,7.852,0,0,0,0,0,
folio,folio_0005,cot,qwen2.5:7b,True,Unknown,False,509,8.001,0,0,0,0,0,
folio,folio_0006,cot,qwen2.5:7b,False,False,True,512,6.819,0,0,0,0,0,
folio,folio_0007,cot,qwen2.5:7b,True,False,False,384,5.211,0,0,0,0,0,
folio,folio_0008,cot,qwen2.5:7b,False,True,False,496,7.469,0,0,0,0,0,
folio,folio_0009,cot,qwen2.5:7b,True,Unknown,False,567,8.361,0,0,0,0,0,
folio,folio_0010,cot,qwen2.5:7b,True,False,False,703,11.232,0,0,0,0,0,
folio,folio_0011,cot,qwen2.5:7b,False,False,True,459,6.453,0,0,0,0,0,
folio,folio_0012,cot,qwen2.5:7b,True,Unknown,False,775,11.72,0,0,0,0,0,
folio,folio_0013,cot,qwen2.5:7b,True,False,False,483,21.439,0,0,0,0,0,
folio,folio_0014,cot,qwen2.5:7b,True,Unknown,False,476,11.652,0,0,0,0,0,
folio,folio_0015,cot,qwen2.5:7b,True,False,False,1122,25.613,0,0,0,0,0,
folio,folio_0016,cot,qwen2.5:7b,True,Unknown,False,540,22.867,0,0,0,0,0,
folio,folio_0017,cot,qwen2.5:7b,Unknown,Unknown,True,495,18.896,0,0,0,0,0,
folio,folio_0018,cot,qwen2.5:7b,False,Unknown,False,496,18.123,0,0,0,0,0,
folio,folio_0019,cot,qwen2.5:7b,False,False,True,351,21.14,0,0,0,0,0,
