benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
math,math_0000,cot,qwen2.5:7b,\frac{8}{3},\frac83,False,843,23.141,0,0,0,0,0,
math,math_0001,cot,qwen2.5:7b,8,8,True,339,11.389,0,0,0,0,0,
math,math_0002,cot,qwen2.5:7b,-256,-256,True,485,13.995,0,0,0,0,0,
math,math_0003,cot,qwen2.5:7b,\frac{3\sqrt{3}}{4},1+2\sqrt{3},False,829,33.031,0,0,0,0,0,
math,math_0004,cot,qwen2.5:7b,2,\frac{1}{2},False,638,19.799,0,0,0,0,0,
math,math_0005,cot,qwen2.5:7b,64,\frac{49}{64},False,631,18.36,0,0,0,0,0,
math,math_0006,cot,qwen2.5:7b,8,8,True,934,23.452,0,0,0,0,0,
math,math_0007,cot,qwen2.5:7b,2,"(2,-1,2)",False,533,13.272,0,0,0,0,0,
math,math_0008,cot,qwen2.5:7b,0,0,True,511,15.133,0,0,0,0,0,
math,math_0009,cot,qwen2.5:7b,1.,"\left( 8 \sqrt{2}, \frac{\pi}{4}, \frac{\pi}{6} \right)",False,818,24.046,0,0,0,0,0,
math,math_0010,cot,qwen2.5:7b,30,35,False,1221,34.125,0,0,0,0,0,
math,math_0011,cot,qwen2.5:7b,3,3,True,543,12.657,0,0,0,0,0,
math,math_0012,cot,qwen2.5:7b,12,12,True,722,20.41,0,0,0,0,0,
math,math_0013,cot,qwen2.5:7b,6,6,True,454,16.929,0,0,0,0,0,
math,math_0014,cot,qwen2.5:7b,24,16,False,1504,33.347,0,0,0,0,0,
math,math_0015,cot,qwen2.5:7b,216,216,True,348,12.473,0,0,0,0,0,
math,math_0016,cot,qwen2.5:7b,\frac{1}{36},\frac{1}{36},True,434,20.596,0,0,0,0,0,
math,math_0017,cot,qwen2.5:7b,\frac{27\sqrt{39}}{8},\frac{9}{2},False,1236,26.582,0,0,0,0,0,
math,math_0018,cot,qwen2.5:7b,12,12,True,389,12.996,0,0,0,0,0,
math,math_0019,cot,qwen2.5:7b,3,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},False,1339,30.781,0,0,0,0,0,
math,math_0020,cot,qwen2.5:7b,\frac{1}{2},\frac{1}{2},True,645,19.879,0,0,0,0,0,
math,math_0021,cot,qwen2.5:7b,"(2, 3, 4)","(3,2,4)",False,1314,38.513,0,0,0,0,0,
math,math_0022,cot,qwen2.5:7b,23,\text{Tuesday},False,363,16.718,0,0,0,0,0,
math,math_0023,cot,qwen2.5:7b,8,8,True,558,16.774,0,0,0,0,0,
math,math_0024,cot,qwen2.5:7b,\frac{36}{121},\frac{36}{121},True,518,13.657,0,0,0,0,0,
math,math_0025,cot,qwen2.5:7b,-\frac{1}{2},\frac{1}{9},False,555,20.854,0,0,0,0,0,
math,math_0026,cot,qwen2.5:7b,38,18,False,1276,34.33,0,0,0,0,0,
math,math_0027,cot,qwen2.5:7b,2,\frac{7}{2},False,395,16.321,0,0,0,0,0,
math,math_0028,cot,qwen2.5:7b,3003,3003,True,1044,26.721,0,0,0,0,0,
math,math_0029,cot,qwen2.5:7b,3,3,True,618,18.894,0,0,0,0,0,
math,math_0030,cot,qwen2.5:7b,41,x^2-10x+41,False,591,18.247,0,0,0,0,0,
math,math_0031,cot,qwen2.5:7b,7,"\{-1\} \cup [0,7)",False,902,24.378,0,0,0,0,0,
math,math_0032,cot,qwen2.5:7b,\frac{7}{12},\frac{7}{12},True,526,23.26,0,0,0,0,0,
math,math_0033,cot,qwen2.5:7b,4,4,True,617,15.548,0,0,0,0,0,
math,math_0034,cot,qwen2.5:7b,1 + \sqrt{7},1+\sqrt5,False,1125,27.071,0,0,0,0,0,
