benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,error
gsm8k,gsm8k_0090,cot,gpt-4o-mini,5,5,True,351,2.363,0,0,0,0,
gsm8k,gsm8k_0091,cot,gpt-4o-mini,12,12,True,516,3.718,0,0,0,0,
gsm8k,gsm8k_0092,cot,gpt-4o-mini,310,310,True,457,3.772,0,0,0,0,
gsm8k,gsm8k_0093,cot,gpt-4o-mini,230,230,True,424,2.753,0,0,0,0,
gsm8k,gsm8k_0094,cot,gpt-4o-mini,650,650,True,370,2.204,0,0,0,0,
gsm8k,gsm8k_0095,cot,gpt-4o-mini,75,75,True,442,3.268,0,0,0,0,
gsm8k,gsm8k_0096,cot,gpt-4o-mini,7.00,7,True,402,2.613,0,0,0,0,
gsm8k,gsm8k_0097,cot,gpt-4o-mini,1600,1600,True,604,3.842,0,0,0,0,
gsm8k,gsm8k_0098,cot,gpt-4o-mini,90,90,True,445,2.931,0,0,0,0,
gsm8k,gsm8k_0099,cot,gpt-4o-mini,18,18,True,382,2.653,0,0,0,0,
gsm8k,gsm8k_0000,cot,gpt-4o-mini,2180,2280,False,382,3.169,0,0,0,0,
gsm8k,gsm8k_0001,cot,gpt-4o-mini,1,1,True,461,3.487,0,0,0,0,
gsm8k,gsm8k_0002,cot,gpt-4o-mini,5,5,True,306,2.223,0,0,0,0,
gsm8k,gsm8k_0003,cot,gpt-4o-mini,12,12,True,420,2.756,0,0,0,0,
gsm8k,gsm8k_0004,cot,gpt-4o-mini,273,273,True,399,2.461,0,0,0,0,
gsm8k,gsm8k_0005,cot,gpt-4o-mini,45,45,True,396,2.62,0,0,0,0,
gsm8k,gsm8k_0006,cot,gpt-4o-mini,21,21,True,265,2.115,0,0,0,0,
gsm8k,gsm8k_0007,cot,gpt-4o-mini,145,145,True,474,3.762,0,0,0,0,
gsm8k,gsm8k_0008,cot,gpt-4o-mini,60,60,True,368,2.587,0,0,0,0,
gsm8k,gsm8k_0009,cot,gpt-4o-mini,122,122,True,448,3.305,0,0,0,0,
gsm8k,gsm8k_0100,cot,gpt-4o-mini,2400,2400,True,490,3.746,0,0,0,0,
gsm8k,gsm8k_0101,cot,gpt-4o-mini,7000,7000,True,573,3.833,0,0,0,0,
gsm8k,gsm8k_0102,cot,gpt-4o-mini,320,320,True,489,3.091,0,0,0,0,
gsm8k,gsm8k_0103,cot,gpt-4o-mini,15,15,True,246,1.414,0,0,0,0,
gsm8k,gsm8k_0104,cot,gpt-4o-mini,28,28,True,342,2.328,0,0,0,0,
gsm8k,gsm8k_0105,cot,gpt-4o-mini,68,68,True,502,3.347,0,0,0,0,
gsm8k,gsm8k_0106,cot,gpt-4o-mini,130000,130000,True,312,2.003,0,0,0,0,
gsm8k,gsm8k_0107,cot,gpt-4o-mini,5,5,True,407,2.765,0,0,0,0,
gsm8k,gsm8k_0108,cot,gpt-4o-mini,5,5,True,1110,8.408,0,0,0,0,
gsm8k,gsm8k_0109,cot,gpt-4o-mini,3,3,True,354,2.461,0,0,0,0,
gsm8k,gsm8k_0010,cot,gpt-4o-mini,29,29,True,671,4.009,0,0,0,0,
gsm8k,gsm8k_0011,cot,gpt-4o-mini,80,80,True,369,2.619,0,0,0,0,
gsm8k,gsm8k_0012,cot,gpt-4o-mini,36,36,True,481,3.637,0,0,0,0,
gsm8k,gsm8k_0013,cot,gpt-4o-mini,1430,1430,True,385,2.506,0,0,0,0,
gsm8k,gsm8k_0014,cot,gpt-4o-mini,5,5,True,303,2.293,0,0,0,0,
gsm8k,gsm8k_0015,cot,gpt-4o-mini,5,5,True,294,1.84,0,0,0,0,
gsm8k,gsm8k_0016,cot,gpt-4o-mini,5,5,True,380,2.631,0,0,0,0,
gsm8k,gsm8k_0017,cot,gpt-4o-mini,66,66,True,290,1.941,0,0,0,0,
gsm8k,gsm8k_0018,cot,gpt-4o-mini,15,15,True,264,1.637,0,0,0,0,
gsm8k,gsm8k_0019,cot,gpt-4o-mini,40,40,True,364,2.579,0,0,0,0,
gsm8k,gsm8k_0110,cot,gpt-4o-mini,180,180,True,477,3.264,0,0,0,0,
gsm8k,gsm8k_0111,cot,gpt-4o-mini,120000,120000,True,514,3.668,0,0,0,0,
gsm8k,gsm8k_0112,cot,gpt-4o-mini,1218,1218,True,413,2.523,0,0,0,0,
gsm8k,gsm8k_0113,cot,gpt-4o-mini,31,31,True,489,3.268,0,0,0,0,
gsm8k,gsm8k_0114,cot,gpt-4o-mini,10,10,True,382,2.894,0,0,0,0,
gsm8k,gsm8k_0115,cot,gpt-4o-mini,30,30,True,373,2.581,0,0,0,0,
gsm8k,gsm8k_0116,cot,gpt-4o-mini,100,100,True,361,2.384,0,0,0,0,
gsm8k,gsm8k_0117,cot,gpt-4o-mini,17,17,True,386,2.649,0,0,0,0,
gsm8k,gsm8k_0118,cot,gpt-4o-mini,32,32,True,299,2.273,0,0,0,0,
gsm8k,gsm8k_0119,cot,gpt-4o-mini,40,40,True,508,3.91,0,0,0,0,
gsm8k,gsm8k_0020,cot,gpt-4o-mini,93,93,True,317,2.459,0,0,0,0,
gsm8k,gsm8k_0021,cot,gpt-4o-mini,2000,2000,True,483,3.289,0,0,0,0,
gsm8k,gsm8k_0022,cot,gpt-4o-mini,1520,1520,True,404,2.834,0,0,0,0,
gsm8k,gsm8k_0023,cot,gpt-4o-mini,11050,11050,True,431,3.24,0,0,0,0,
gsm8k,gsm8k_0024,cot,gpt-4o-mini,90,90,True,526,3.145,0,0,0,0,
gsm8k,gsm8k_0025,cot,gpt-4o-mini,40000,40000,True,362,2.201,0,0,0,0,
gsm8k,gsm8k_0026,cot,gpt-4o-mini,21,21,True,346,2.515,0,0,0,0,
gsm8k,gsm8k_0027,cot,gpt-4o-mini,18,18,True,626,4.884,0,0,0,0,
gsm8k,gsm8k_0028,cot,gpt-4o-mini,14,14,True,398,2.743,0,0,0,0,
gsm8k,gsm8k_0029,cot,gpt-4o-mini,23,23,True,558,3.907,0,0,0,0,
gsm8k,gsm8k_0120,cot,gpt-4o-mini,2,2,True,481,3.102,0,0,0,0,
gsm8k,gsm8k_0121,cot,gpt-4o-mini,90000,90000,True,352,2.518,0,0,0,0,
gsm8k,gsm8k_0122,cot,gpt-4o-mini,50,50,True,774,6.006,0,0,0,0,
gsm8k,gsm8k_0123,cot,gpt-4o-mini,8,8,True,264,2.362,0,0,0,0,
gsm8k,gsm8k_0124,cot,gpt-4o-mini,14,21,False,380,3.069,0,0,0,0,
gsm8k,gsm8k_0125,cot,gpt-4o-mini,2,2,True,363,2.666,0,0,0,0,
gsm8k,gsm8k_0126,cot,gpt-4o-mini,180,180,True,357,2.167,0,0,0,0,
gsm8k,gsm8k_0127,cot,gpt-4o-mini,104,104,True,566,3.681,0,0,0,0,
gsm8k,gsm8k_0128,cot,gpt-4o-mini,25,25,True,394,2.635,0,0,0,0,
gsm8k,gsm8k_0129,cot,gpt-4o-mini,75,75,True,588,4.295,0,0,0,0,
gsm8k,gsm8k_0030,cot,gpt-4o-mini,145,145,True,639,7.725,0,0,0,0,
gsm8k,gsm8k_0031,cot,gpt-4o-mini,123,123,True,423,3.333,0,0,0,0,
gsm8k,gsm8k_0032,cot,gpt-4o-mini,98,98,True,443,3.204,0,0,0,0,
gsm8k,gsm8k_0033,cot,gpt-4o-mini,7.00,7,True,623,4.782,0,0,0,0,
gsm8k,gsm8k_0034,cot,gpt-4o-mini,34,34,True,470,3.276,0,0,0,0,
gsm8k,gsm8k_0035,cot,gpt-4o-mini,38.00,38,True,614,4.228,0,0,0,0,
gsm8k,gsm8k_0036,cot,gpt-4o-mini,320,320,True,465,3.151,0,0,0,0,
gsm8k,gsm8k_0037,cot,gpt-4o-mini,50,50,True,479,3.332,0,0,0,0,
gsm8k,gsm8k_0038,cot,gpt-4o-mini,50,50,True,401,3.215,0,0,0,0,
gsm8k,gsm8k_0039,cot,gpt-4o-mini,84,84,True,371,3.287,0,0,0,0,
gsm8k,gsm8k_0130,cot,gpt-4o-mini,60,60,True,325,2.171,0,0,0,0,
gsm8k,gsm8k_0131,cot,gpt-4o-mini,260,260,True,351,2.309,0,0,0,0,
gsm8k,gsm8k_0132,cot,gpt-4o-mini,40,35,False,391,3.167,0,0,0,0,
gsm8k,gsm8k_0133,cot,gpt-4o-mini,30,30,True,317,2.355,0,0,0,0,
gsm8k,gsm8k_0134,cot,gpt-4o-mini,18,18,True,275,1.627,0,0,0,0,
gsm8k,gsm8k_0135,cot,gpt-4o-mini,160,160,True,365,2.293,0,0,0,0,
gsm8k,gsm8k_0136,cot,gpt-4o-mini,15,15,True,286,1.821,0,0,0,0,
gsm8k,gsm8k_0137,cot,gpt-4o-mini,7,7,True,265,1.583,0,0,0,0,
gsm8k,gsm8k_0138,cot,gpt-4o-mini,3366922300,1450000,False,889,6.553,0,0,0,0,
gsm8k,gsm8k_0139,cot,gpt-4o-mini,30,30,True,294,2.12,0,0,0,0,
gsm8k,gsm8k_0040,cot,gpt-4o-mini,50,50,True,524,3.322,0,0,0,0,
gsm8k,gsm8k_0041,cot,gpt-4o-mini,8000,8000,True,257,1.584,0,0,0,0,
gsm8k,gsm8k_0042,cot,gpt-4o-mini,280,280,True,395,2.866,0,0,0,0,
gsm8k,gsm8k_0043,cot,gpt-4o-mini,30,30,True,282,1.844,0,0,0,0,
gsm8k,gsm8k_0044,cot,gpt-4o-mini,176,192,False,522,3.666,0,0,0,0,
gsm8k,gsm8k_0045,cot,gpt-4o-mini,276,276,True,470,3.297,0,0,0,0,
gsm8k,gsm8k_0046,cot,gpt-4o-mini,32,32,True,475,3.129,0,0,0,0,
gsm8k,gsm8k_0047,cot,gpt-4o-mini,25,25,True,537,3.671,0,0,0,0,
gsm8k,gsm8k_0048,cot,gpt-4o-mini,10,10,True,329,2.416,0,0,0,0,
gsm8k,gsm8k_0049,cot,gpt-4o-mini,84,84,True,370,2.359,0,0,0,0,
gsm8k,gsm8k_0140,cot,gpt-4o-mini,490,490,True,343,2.45,0,0,0,0,
gsm8k,gsm8k_0141,cot,gpt-4o-mini,35,31,False,463,2.983,0,0,0,0,
gsm8k,gsm8k_0142,cot,gpt-4o-mini,24,24,True,289,1.963,0,0,0,0,
gsm8k,gsm8k_0143,cot,gpt-4o-mini,131250,131250,True,624,3.615,0,0,0,0,
gsm8k,gsm8k_0144,cot,gpt-4o-mini,3,3,True,281,2.239,0,0,0,0,
gsm8k,gsm8k_0145,cot,gpt-4o-mini,90,90,True,405,2.975,0,0,0,0,
gsm8k,gsm8k_0146,cot,gpt-4o-mini,193,193,True,342,2.289,0,0,0,0,
gsm8k,gsm8k_0147,cot,gpt-4o-mini,1,1,True,653,4.435,0,0,0,0,
gsm8k,gsm8k_0148,cot,gpt-4o-mini,18,18,True,738,5.397,0,0,0,0,
gsm8k,gsm8k_0149,cot,gpt-4o-mini,21,21,True,475,3.119,0,0,0,0,
gsm8k,gsm8k_0050,cot,gpt-4o-mini,147,147,True,374,2.657,0,0,0,0,
gsm8k,gsm8k_0051,cot,gpt-4o-mini,25,25,True,451,2.886,0,0,0,0,
gsm8k,gsm8k_0052,cot,gpt-4o-mini,1800,1800,True,338,2.642,0,0,0,0,
gsm8k,gsm8k_0053,cot,gpt-4o-mini,20,20,True,495,3.705,0,0,0,0,
gsm8k,gsm8k_0054,cot,gpt-4o-mini,140,140,True,289,1.948,0,0,0,0,
gsm8k,gsm8k_0055,cot,gpt-4o-mini,36,36,True,457,2.947,0,0,0,0,
gsm8k,gsm8k_0056,cot,gpt-4o-mini,1,1,True,519,3.43,0,0,0,0,
gsm8k,gsm8k_0057,cot,gpt-4o-mini,1,1,True,411,2.812,0,0,0,0,
gsm8k,gsm8k_0058,cot,gpt-4o-mini,50,50,True,387,2.602,0,0,0,0,
gsm8k,gsm8k_0059,cot,gpt-4o-mini,860,860,True,526,3.355,0,0,0,0,
gsm8k,gsm8k_0150,cot,gpt-4o-mini,8,8,True,382,2.807,0,0,0,0,
gsm8k,gsm8k_0151,cot,gpt-4o-mini,17500,17500,True,403,2.619,0,0,0,0,
gsm8k,gsm8k_0152,cot,gpt-4o-mini,4,4,True,337,2.4,0,0,0,0,
gsm8k,gsm8k_0153,cot,gpt-4o-mini,4,4,True,418,2.727,0,0,0,0,
gsm8k,gsm8k_0154,cot,gpt-4o-mini,25,25,True,580,4.089,0,0,0,0,
gsm8k,gsm8k_0155,cot,gpt-4o-mini,15,15,True,642,4.506,0,0,0,0,
gsm8k,gsm8k_0156,cot,gpt-4o-mini,12,12,True,377,2.862,0,0,0,0,
gsm8k,gsm8k_0157,cot,gpt-4o-mini,400,400,True,486,3.386,0,0,0,0,
gsm8k,gsm8k_0158,cot,gpt-4o-mini,72,72,True,431,3.115,0,0,0,0,
gsm8k,gsm8k_0159,cot,gpt-4o-mini,5600,5600,True,498,3.955,0,0,0,0,
gsm8k,gsm8k_0060,cot,gpt-4o-mini,60,60,True,540,4.073,0,0,0,0,
gsm8k,gsm8k_0061,cot,gpt-4o-mini,23,23,True,536,3.582,0,0,0,0,
gsm8k,gsm8k_0062,cot,gpt-4o-mini,350,350,True,441,3.505,0,0,0,0,
gsm8k,gsm8k_0063,cot,gpt-4o-mini,100,100,True,376,2.832,0,0,0,0,
gsm8k,gsm8k_0064,cot,gpt-4o-mini,133,133,True,342,2.665,0,0,0,0,
gsm8k,gsm8k_0065,cot,gpt-4o-mini,112,112,True,533,3.175,0,0,0,0,
gsm8k,gsm8k_0066,cot,gpt-4o-mini,7,13,False,323,2.25,0,0,0,0,
