benchmark,problem_id,method,model,predicted_answer,ground_truth,correct,tokens_used,latency_s,steps_total,steps_verified,steps_disagreed,steps_recovered,steps_crashed,error
gsm8k,gsm8k_0000,cot,qwen2.5:7b,2180,2280,False,451,8.936,0,0,0,0,0,
gsm8k,gsm8k_0001,cot,qwen2.5:7b,1,1,True,353,5.078,0,0,0,0,0,
gsm8k,gsm8k_0002,cot,qwen2.5:7b,5,5,True,499,8.372,0,0,0,0,0,
gsm8k,gsm8k_0003,cot,qwen2.5:7b,12,12,True,382,5.67,0,0,0,0,0,
gsm8k,gsm8k_0004,cot,qwen2.5:7b,273,273,True,446,6.725,0,0,0,0,0,
gsm8k,gsm8k_0000,symmetric_cgcot,qwen2.5:7b,2580,2280,False,475,49.175,3,0,0,0,0,
gsm8k,gsm8k_0001,symmetric_cgcot,qwen2.5:7b,1,1,True,497,63.625,4,0,0,0,0,
gsm8k,gsm8k_0002,symmetric_cgcot,qwen2.5:7b,5,5,True,669,68.954,5,0,0,0,0,
gsm8k,gsm8k_0003,symmetric_cgcot,qwen2.5:7b,15,12,False,1885,54.024,4,1,1,1,1,
gsm8k,gsm8k_0004,symmetric_cgcot,qwen2.5:7b,273,273,True,3312,30.079,5,0,3,3,3,
math,math_0000,cot,qwen2.5:7b,\frac{8}{3},\frac83,False,843,15.308,0,0,0,0,0,
math,math_0001,cot,qwen2.5:7b,8,8,True,339,5.251,0,0,0,0,0,
math,math_0002,cot,qwen2.5:7b,-256,-256,True,485,7.425,0,0,0,0,0,
math,math_0003,cot,qwen2.5:7b,\frac{3\sqrt{3}}{4},1+2\sqrt{3},False,829,14.66,0,0,0,0,0,
math,math_0004,cot,qwen2.5:7b,2,\frac{1}{2},False,638,11.533,0,0,0,0,0,
